,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course,Rank,,Course,Times Played,Maintenance,Fairways,Rough/Waste,Bunkers,Greens,Layout,Difficulty,Aura,Range,Clubhouse/Bar,Playability,Course,Experience,Value,Par,Distance,Index,Slope,Twilight Value,Weekday Morning,Weekday Afternoon,Weekday Twilight,Weekend Morning,Weekend Afternoon,Weekend Twilight,Twilight Time,Rate Calc,Rate Calc Rank,Twilight Rank Calc,Twilight Rank,,Enter Your Handicap,9.8,Expected Score to Par,0 Handicap,9 Handicap,18 Handicap,,,Rating System:,,,,,,,
Luna Vista Golf Course,52,,Luna Vista Golf Course,6,3.50,3.50,3.75,3.75,3.75,3.00,2.00,2.00,3.75,3.50,2.94,3.18,3.22,4.00,72,6847,72.8,128,3.25,$54.00,$43.00,$39.00,$57.00,$47.00,$46.00,0.13,3.16,62,0.07,46,,,,+16,+4,+15,+27,,,,,,,,,,
Southern Oaks Golf Club,53,,Southern Oaks Golf Club,0,3.00,2.75,3.00,3.00,3.00,3.00,4.75,3.00,3.00,3.00,4.25,3.17,3.17,3.25,72,7311,76.0,135,4.50,$49.88,$49.88,$27.71,$66.51,$66.51,$36.95,0.15,2.72,44,0.09,70,,,,+20,+6,+19,+32,,,,,,,,,,
Meadowbrook,54,,Meadowbrook,3,3.25,3.00,3.00,3.00,3.00,3.00,1.75,3.25,3.00,3.00,2.32,2.97,3.00,4.75,71,6363,70.2,126,3.75,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,0.13,3.71,77,0.07,55,,,,+19,+5,+18,+32,,,,,,,,,,
Rockwood Park Golf Course,55,,Rockwood Park Golf Course,0,3.00,3.00,3.00,3.00,3.00,3.00,2.75,3.00,3.00,3.00,3.42,3.07,3.07,2.50,72,7053,73.7,120,4.75,$60.00,$51.00,$33.00,$75.00,$65.00,$29.50,0.17,2.45,29,0.10,77,,,,+16,+3,+15,+27,,,,,,,,,,
Split Rail Golf Course,56,,Split Rail Golf Course,0,2.50,2.50,2.50,2.50,2.50,2.50,4.75,2.75,2.50,2.50,4.08,2.81,2.77,2.50,72,7353,76.2,138,2.25,$55.00,$55.00,$40.00,$65.00,$65.00,$50.00,0.13,2.34,28,0.06,27,,,,+18,+5,+17,+30,,,,,,,,,,
Iron Horse Golf Club,57,,Iron Horse Golf Club,1,1.75,2.75,3.00,4.00,3.00,3.00,4.00,3.00,3.50,3.50,3.81,2.97,3.00,2.00,71,7028,73.6,144,1.50,$60.86,$53.86,$42.86,$83.86,$78.86,$69.86,0.08,2.14,21,0.04,10,,,,+18,+4,+17,+29,,,,,,,,,,
Lake Arlington Golf Course,58,,Lake Arlington Golf Course,0,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,2.69,2.95,2.95,5.00,71,6618,72.3,122,5.00,$26.00,$26.00,$21.50,$32.50,$32.50,$25.25,0.17,5.04,79,0.12,79,,,,+14,+2,+14,+26,,,,,,,,,,
Mesquite Golf Club,59,,Mesquite Golf Club,1,2.75,2.75,2.75,3.50,5.00,2.75,3.00,2.00,3.50,3.00,3.09,2.93,2.95,4.50,71,6753,74.2,128,3.50,$43.42,$37.87,$37.87,$53.57,$40.65,$40.65,x,3.34,68,0.07,52,,,,+16,+3,+15,+28,,,,,,,,,,
Hawks Creek,60,,Hawks Creek,0,2.75,2.75,2.75,2.75,2.75,2.75,3.50,2.75,2.75,2.75,3.41,2.86,2.84,2.25,72,6898,74.0,134,2.50,$60.00,$60.00,$45.00,$65.00,$65.00,$50.00,0.17,2.29,25,0.06,30,,,,+17,+4,+16,+28,,,,,,,,,,
Old Brickyard Golf Course,61,,Old Brickyard Golf Course,3,3.00,2.75,2.75,2.75,3.00,2.00,1.75,4.00,3.00,3.00,2.12,2.85,2.85,4.75,71,6486,70.6,125,3.75,$37.00,$27.00,$27.00,$60.00,$38.95,$38.95,x,3.50,74,0.07,53,,,,+18,+5,+17,+30,,,,,,,,,,
